工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,Type-A 雙面輕隔間,Type-A2 雙面輕隔間,Type-B 濕式輕隔間,Type-B 濕式輕隔間-襯板,Type-C 單面輕隔間,Type-D 矽酸鈣板(單面封板),Type-E 複壁,Type-E 纖維水泥板(單面)-10cm,Type-F 岩棉庫板,Type-F 岩棉庫板(柱封版),Type-G 矽酸鈣板(單板)
F219,丙無障礙安全梯,19.85,Type-F 岩棉庫板,=6.53,4.59,=E177*F177,=G177,,,,,,,=H177,,,,,,,,,=O177,,
F219,丙無障礙安全梯,19.85,Type-F 岩棉庫板(柱封版),=0.40+0.40+0.45+0.40,3.64,=E178*F178,=G178,,,,,,,=H178,,,,,,,,,,=O178,
F220,管道間,9.72,,,,,,,,,,,,,,,,,,,,,,,
F221,管道間,5.42,,,,,,,,,,,,,,,,,,,,,,,
F222,排風管道間,9.14,Type-E 複壁,=17.48,4.41,=E181*F181,=G181,,,,,,,=H181,,,,,,,=O181,,,,
F223,管道間,5.90,,,,,,,,,,,,,,,,,,,,,,,
F224,管道間,6.10,Type-E 複壁,=236.35,1.75,=E183*F183,=G183,,,,,,,=H183,,,,,,,=O183,,,,
F225,管道間,6.70,Type-E 複壁,=33.25,3.79,=E184*F184,=G184,,,,,,,=H184,,,,,,,=O184,,,,
F226,排風管道間,14.65,,,,,,,,,,,,,,,,,,,,,,,
F227,茶水間,16.72,Type-B 濕式輕隔間,=2.65+5.71+2.65+5.71,4.34,=E186*F186,=G186,120x220 cm,1,1.20,2.20,=J186*K186*L186,=M186,=H186-N186,,,=O186,,,,,,,,
F228,丁無障礙客梯,14.16,Type-B 濕式輕隔間,=1.72,4.65,=E187*F187,=G187,,,,,,,=H187,,,=O187,,,,,,,,
F301,員工休息室,116.19,Type-A 雙面輕隔間,=3.45+2.15+3.38+4.40,5.12,=E188*F188,=G188,D16-90x210 cm,2,0.90,2.10,=J188*K188*L188,=M188,=H188-N188-N189-N190,=O188,,,,,,,,,,
,,,,,,,,D17-180x210 cm,1,1.80,2.10,=J189*K189*L189,=M189,,,,,,,,,,,,
,,,,,,,,D3-180x220 cm,1,1.80,2.20,=J190*K190*L190,=M190,,,,,,,,,,,,
F301,員工休息室,116.19,Type-B 濕式輕隔間,=3.53+3.25,4.72,=E191*F191,=G191,,,,,,,=H191,,,=O191,,,,,,,,
F301,員工休息室,116.19,Type-C 單面輕隔間,=3.70,4.59,=E192*F192,=G192,,,,,,,=H192,,,,,=O192,,,,,,
F301,員工休息室,116.19,Type-D 矽酸鈣板(單面封板),=22.02,4.86,=E193*F193,=G193,,,,,,,=H193,,,,,,=O193,,,,,
F301,員工休息室,116.19,Type-G 矽酸鈣板(單板),=1.28+6.03+0.85+0.88+0.85,4.95,=E194*F194,=G194,,,,,,,=H194,,,,,,,,,,,=O194
F302,梯廳,37.50,Type-A 雙面輕隔間,=5.28+2.93,6.53,=E195*F195,=G195,D6-120x220 cm,1,1.20,2.20,=J195*K195*L195,=M195,=H195-N195-N196,=O195,,,,,,,,,,
,,,,,,,,D7-180x220 cm,1,1.80,2.20,=J196*K196*L196,=M196,,,,,,,,,,,,
F302,梯廳,37.50,Type-B 濕式輕隔間,=5.27,2.66,=E197*F197,=G197,,,,,,,=H197,,,=O197,,,,,,,,
F303,梯廳,25.49,Type-A 雙面輕隔間,=7.65+5.08+5.08,4.97,=E198*F198,=G198,D6-120x220 cm,1,1.20,2.20,=J198*K198*L198,=M198,=H198-N198-N199,=O198,,,,,,,,,,
,,,,,,,,D7-180x220 cm,2,1.80,2.20,=J199*K199*L199,=M199,,,,,,,,,,,,
F303,梯廳,25.49,Type-C 單面輕隔間,=1.35,5.19,=E200*F200,=G200,,,,,,,=H200,,,,,=O200,,,,,,
F304,公共廁所,22.34,Type-B 濕式輕隔間,=1.07+0.98+1.29,2.40,=E201*F201,=G201,,,,,,,=H201,,,=O201,,,,,,,,
F304,公共廁所,22.34,Type-B 濕式輕隔間,=2.11,4.27,=E202*F202,=G202,,,,,,,=H202,,,=O202,,,,,,,,
F304,公共廁所,22.34,Type-B 濕式輕隔間-襯板,=2.76+1.66+0.40+1.66+2.47+0.53+0.40+0.53+1.71,1.90,=E203*F203,=G203,,,,,,,=H203,,,,=O203,,,,,,,
F304,公共廁所,22.34,Type-C 單面輕隔間,=0.98,5.10,=E204*F204,=G204,,,,,,,=H204,,,,,=O204,,,,,,
F305,作業區,189.78,Type-C 單面輕隔間,=1.08,4.63,=E205*F205,=G205,,,,,,,=H205,,,,,=O205,,,,,,
F305,作業區,189.78,Type-F 岩棉庫板,=64.10,5.10,=E206*F206,=G206,SD4-400x280 cm,4,4.00,2.80,=J206*K206*L206,=M206,=H206-N206-N207,,,,,,,,,=O206,,
,,,,,,,,D6-120x220 cm,3,1.20,2.20,=J207*K207*L207,=M207,,,,,,,,,,,,
F305,作業區,189.78,Type-G 矽酸鈣板(單板),=0.18,5.56,=E208*F208,=G208,,,,,,,=H208,,,,,,,,,,,=O208
F306,作業廠房(三),186.02,Type-F 岩棉庫板,=53.53+53.95,5.09,=E209*F209,=G209,SD6-200x280 cm,2,2.00,2.80,=J209*K209*L209,=M209,=H209-N209-N210-N211,,,,,,,,,=O209,,
,,,,,,,,SD4-400x280 cm,4,4.00,2.80,=J210*K210*L210,=M210,,,,,,,,,,,,
,,,,,,,,D6-120x220 cm,2,1.20,2.20,=J211*K211*L211,=M211,,,,,,,,,,,,
F306,作業廠房(三),186.02,Type-G 矽酸鈣板(單板),=0.50,2.00,=E212*F212,=G212,,,,,,,=H212,,,,,,,,,,,=O212
F307,越庫XD區,195.50,Type-F 岩棉庫板,=52.94+65.25,5.09,=E213*F213,=G213,SD4-400x280 cm,4,4.00,2.80,=J213*K213*L213,=M213,=H213-N213-N214,,,,,,,,,=O213,,
,,,,,,,,D6-120x220 cm,2,1.20,2.20,=J214*K214*L214,=M214,,,,,,,,,,,,
F307,越庫XD區,195.50,Type-G 矽酸鈣板(單板),=0.50+0.52+0.50,3.29,=E215*F215,=G215,,,,,,,=H215,,,,,,,,,,,=O215
F308,越庫XD區,221.56,Type-F 岩棉庫板,=52.70,5.09,=E216*F216,=G216,SD4-400x280 cm,4,4.00,2.80,=J216*K216*L216,=M216,=H216-N216-N217,,,,,,,,,=O216,,
,,,,,,,,D6-120x220 cm,4,1.20,2.20,=J217*K217*L217,=M217,,,,,,,,,,,,
F308,越庫XD區,221.56,Type-G 矽酸鈣板(單板),=0.50+0.50,3.00,=E218*F218,=G218,,,,,,,=H218,,,,,,,,,,,=O218
F309,越庫XD區,240.42,Type-F 岩棉庫板,=6.19,5.17,=E219*F219,=G219,,,,,,,=H219,,,,,,,,,=O219,,
F309,越庫XD區,240.42,Type-G 矽酸鈣板(單板),=0.50+0.50,4.00,=E220*F220,=G220,,,,,,,=H220,,,,,,,,,,,=O220
F310,越庫XD區,213.27,Type-G 矽酸鈣板(單板),=1.25,3.20,=E221*F221,=G221,,,,,,,=H221,,,,,,,,,,,=O221
F311,越庫XD區,229.63,Type-F 岩棉庫板,=52.78+6.22,5.07,=E222*F222,=G222,SD4-400x280 cm,4,4.00,2.80,=J222*K222*L222,=M222,=H222-N222-N223,,,,,,,,,=O222,,
,,,,,,,,D6-120x220 cm,2,1.20,2.20,=J223*K223*L223,=M223,,,,,,,,,,,,
F311,越庫XD區,229.63,Type-G 矽酸鈣板(單板),=0.50+0.50+1.06,3.40,=E224*F224,=G224,,,,,,,=H224,,,,,,,,,,,=O224
F312,弱電室,18.42,Type-A 雙面輕隔間,=2.95+5.36+6.26,5.01,=E225*F225,=G225,D4-90x220 cm,1,0.90,2.20,=J225*K225*L225,=M225,=H225-N225,=O225,,,,,,,,,,
F313,電氣室,24.12,Type-A 雙面輕隔間,=5.78+6.21+3.80,5.06,=E226*F226,=G226,D3-180x220 cm,1,1.80,2.20,=J226*K226*L226,=M226,=H226-N226,=O226,,,,,,,,,,
F313,電氣室,24.12,Type-F 岩棉庫板(柱封版),=0.45+0.43+0.43+0.48,7.82,=E227*F227,=G227,,,,,,,=H227,,,,,,,,,,=O227,
F314,管道間,9.55,Type-C 單面輕隔間,=4.10+0.68+0.75+4.10,5.16,=E228*F228,=G228,D1-60x120 cm,1,0.60,1.20,=J228*K228*L228,=M228,=H228-N228,,,,,=O228,,,,,,
F315,排風管道間,15.52,Type-C 單面輕隔間,=2.73+5.13,5.05,=E229*F229,=G229,D1-60x120 cm,1,0.60,1.20,=J229*K229*L229,=M229,=H229-N229,,,,,=O229,,,,,,
F316,管道間,6.40,Type-C 單面輕隔間,=1.55+2.73+1.65+1.63,4.89,=E230*F230,=G230,,,,,,,=H230,,,,,=O230,,,,,,
F317,管道間,5.90,Type-C 單面輕隔間,=2.05+0.90+0.90+2.05,5.21,=E231*F231,=G231,D1-60x120 cm,1,0.60,1.20,=J231*K231*L231,=M231,=H231-N231,,,,,=O231,,,,,,
F318,管道間,6.10,Type-C 單面輕隔間,=0.90+2.15+2.15,4.95,=E232*F232,=G232,D1-60x120 cm,1,0.60,1.20,=J232*K232*L232,=M232,=H232-N232,,,,,=O232,,,,,,
F319,排風管道,14.85,Type-C 單面輕隔間,=5.18,5.02,=E233*F233,=G233,,,,,,,=H233,,,,,=O233,,,,,,
F320,管道間,5.95,Type-C 單面輕隔間,=2.88+1.33+1.63,4.97,=E234*F234,=G234,,,,,,,=H234,,,,,=O234,,,,,,
F322,管道間,7.25,Type-C 單面輕隔間,=4.40+0.55+3.15+0.48,5.10,=E235*F235,=G235,D1-60x120 cm,1,0.60,1.20,=J235*K235*L235,=M235,=H235-N235,,,,,=O235,,,,,,
F322,管道間,7.25,Type-F 岩棉庫板(柱封版),=0.40+0.40,3.75,=E236*F236,=G236,,,,,,,=H236,,,,,,,,,,=O236,
F324,管道間,9.70,Type-C 單面輕隔間,=4.10+0.75+0.75+4.10,5.13,=E237*F237,=G237,D1-60x120 cm,1,0.60,1.20,=J237*K237*L237,=M237,=H237-N237,,,,,=O237,,,,,,
F325,乙貨梯,25.78,Type-C 單面輕隔間,=5.85+7.04+5.85+7.04,4.89,=E238*F238,=G238,,,,,,,=H238,,,,,=O238,,,,,,
F326,乙安全梯,20.78,Type-A 雙面輕隔間,=6.29+11.57+4.10,5.02,=E239*F239,=G239,D6-120x220 cm,2,1.20,2.20,=J239*K239*L239,=M239,=H239-N239,=O239,,,,,,,,,,
F326,乙安全梯,20.78,Type-D 矽酸鈣板(單面封板),=0.40+0.40+0.40+0.50,7.65,=E240*F240,=G240,,,,,,,=H240,,,,,,=O240,,,,,
F327,甲貨梯,23.60,Type-C 單面輕隔間,=5.85+5.95+5.85+5.95,4.83,=E241*F241,=G241,,,,,,,=H241,,,,,=O241,,,,,,
F327,甲貨梯,23.60,Type-F 岩棉庫板,=5.20,5.00,=E242*F242,=G242,,,,,,,=H242,,,,,,,,,=O242,,
F328,甲安全梯,20.80,Type-A 雙面輕隔間,=6.30+4.10+6.30,5.01,=E243*F243,=G243,D6-120x220 cm,1,1.20,2.20,=J243*K243*L243,=M243,=H243-N243,=O243,,,,,,,,,,
F328,甲安全梯,20.80,Type-D 矽酸鈣板(單面封板),=0.40+0.40+0.40+0.51,8.19,=E244*F244,=G244,,,,,,,=H244,,,,,,=O244,,,,,
F329,丁安全梯,20.62,Type-A 雙面輕隔間,=4.18+4.03+6.21,5.11,=E245*F245,=G245,D6-120x220 cm,1,1.20,2.20,=J245*K245*L245,=M245,=H245-N245,=O245,,,,,,,,,,
F329,丁安全梯,20.62,Type-D 矽酸鈣板(單面封板),=1.08+0.43+0.49+0.43,9.05,=E246*F246,=G246,,,,,,,=H246,,,,,,=O246,,,,,
F330,戊安全梯,20.72,Type-A 雙面輕隔間,=6.26+6.90,5.06,=E247*F247,=G247,D6-120x220 cm,1,1.20,2.20,=J247*K247*L247,=M247,=H247-N247-N248,=O247,,,,,,,,,,
,,,,,,,,D3-180x220 cm,1,1.80,2.20,=J248*K248*L248,=M248,,,,,,,,,,,,
F330,戊安全梯,20.72,Type-D 矽酸鈣板(單面封板),=0.43+1.08+0.43+0.54,8.47,=E249*F249,=G249,,,,,,,=H249,,,,,,=O249,,,,,
F331,丙無障礙安全梯,19.95,Type-F 岩棉庫板,=7.65,4.97,=E250*F250,=G250,,,,,,,=H250,,,,,,,,,=O250,,
F331,丙無障礙安全梯,19.95,Type-F 岩棉庫板(柱封版),=3.18+0.40+0.48,4.68,=E251*F251,=G251,,,,,,,=H251,,,,,,,,,,=O251,
F332,丙無障礙客梯,12.95,Type-B 濕式輕隔間,=3.00,4.67,=E252*F252,=G252,,,,,,,=H252,,,=O252,,,,,,,,
F333,丁無障礙客梯,14.85,Type-C 單面輕隔間,=1.79,4.47,=E253*F253,=G253,,,,,,,=H253,,,,,=O253,,,,,,
F333,丁無障礙客梯,14.85,Type-D 矽酸鈣板(單面封板),=3.70+6.50,4.31,=E254*F254,=G254,,,,,,,=H254,,,,,,=O254,,,,,
F334,哺乳室,16.05,Type-A 雙面輕隔間,=2.89,4.81,=E255*F255,=G255,D9-90x210 cm,1,0.90,2.10,=J255*K255*L255,=M255,=H255-N255,=O255,,,,,,,,,,
F334,哺乳室,16.05,Type-G 矽酸鈣板(單板),=2.11+11.13+1.10+0.85,5.13,=E256*F256,=G256,,,,,,,=H256,,,,,,,,,,,=O256
F335,哺乳室,15.52,Type-A 雙面輕隔間,=5.28+5.28+2.63,4.69,=E257*F257,=G257,D9-90x210 cm,1,0.90,2.10,=J257*K257*L257,=M257,=H257-N257,=O257,,,,,,,,,,
F335,哺乳室,15.52,Type-G 矽酸鈣板(單板),=2.70,4.81,=E258*F258,=G258,,,,,,,=H258,,,,,,,,,,,=O258
F336,醫護室,15.95,Type-A 雙面輕隔間,=4.43+2.88,4.91,=E259*F259,=G259,D9-90x210 cm,1,0.90,2.10,=J259*K259*L259,=M259,=H259-N259,=O259,,,,,,,,,,
F336,醫護室,15.95,Type-G 矽酸鈣板(單板),=2.88,4.86,=E260*F260,=G260,,,,,,,=H260,,,,,,,,,,,=O260
F337,男置物間,26.54,Type-A 雙面輕隔間,=4.70,5.93,=E261*F261,=G261,D9-90x210 cm,1,0.90,2.10,=J261*K261*L261,=M261,=H261-N261,=O261,,,,,,,,,,
F337,男置物間,26.54,Type-D 矽酸鈣板(單面封板),=5.00,5.20,=E262*F262,=G262,,,,,,,=H262,,,,,,=O262,,,,,
F338,女置物間,26.88,Type-A 雙面輕隔間,=9.45+9.23+4.18,5.73,=E263*F263,=G263,D9-90x210 cm,1,0.90,2.10,=J263*K263*L263,=M263,=H263-N263,=O263,,,,,,,,,,
F339,教育訓練室,40.90,Type-A 雙面輕隔間,=10.63,4.42,=E264*F264,=G264,,,,,,,=H264,=O264,,,,,,,,,,
F339,教育訓練室,40.90,Type-D 矽酸鈣板(單面封板),=17.06,5.10,=E265*F265,=G265,,,,,,,=H265,,,,,,=O265,,,,,
F340,運動室,24.60,Type-A 雙面輕隔間,=8.85+3.45+8.93,4.76,=E266*F266,=G266,,,,,,,=H266,=O266,,,,,,,,,,
F341,外包辦公室,24.37,Type-A 雙面輕隔間,=3.45,4.35,=E267*F267,=G267,,,,,,,=H267,=O267,,,,,,,,,,
F341,外包辦公室,24.37,Type-B 濕式輕隔間,=6.53,4.90,=E268*F268,=G268,,,,,,,=H268,,,=O268,,,,,,,,
F342,茶水間,29.78,Type-B 濕式輕隔間,=9.78,4.91,=E269*F269,=G269,,,,,,,=H269,,,=O269,,,,,,,,
F343,垃圾回收室,14.72,Type-A 雙面輕隔間,=2.33+5.12+2.33,4.91,=E270*F270,=G270,,,,,,,=H270,=O270,,,,,,,,,,
F343,垃圾回收室,14.72,Type-B 濕式輕隔間,=5.19,4.80,=E271*F271,=G271,D18-90x210cm,1,0.90,2.10,=J271*K271*L271,=M271,=H271-N271,,,=O271,,,,,,,,
F344,儲藏室,84.09,Type-F 岩棉庫板,=42.50+0.98,2.20,=E272*F272,=G272,D10-180x210 cm,1,1.80,2.10,=J272*K272*L272,=M272,=H272-N272,,,,,,,,,=O272,,
F345,弱電室,18.27,Type-A 雙面輕隔間,=6.21+5.31+2.93+3.00,5.04,=E273*F273,=G273,D4-90x220 cm,1,0.90,2.20,=J273*K273*L273,=M273,=H273-N273,=O273,,,,,,,,,,
F346,電氣室,22.42,Type-A 雙面輕隔間,=12.03+6.26,5.08,=E274*F274,=G274,,,,,,,=H274,=O274,,,,,,,,,,
F346,電氣室,22.42,Type-C 單面輕隔間,=0.98,5.10,=E275*F275,=G275,,,,,,,=H275,,,,,=O275,,,,,,
F346,電氣室,22.42,Type-F 岩棉庫板(柱封版),=0.43+0.43+0.43+0.43,8.14,=E276*F276,=G276,,,,,,,=H276,,,,,,,,,,=O276,
F347,女廁,25.10,Type-B 濕式輕隔間,=1.52+1.52+5.71+4.35+1.20,4.26,=E277*F277,=G277,D12-100x210 cm,1,0.90,2.10,=J277*K277*L277,=M277,=H277-N277,,,=O277,,,,,,,,
F347,女廁,25.10,Type-C 單面輕隔間,=1.35,5.19,=E278*F278,=G278,,,,,,,=H278,,,,,=O278,,,,,,
F348,無障礙廁所,9.08,Type-B 濕式輕隔間,=2.49+0.49+1.72+2.70+2.20,4.91,=E279*F279,=G279,D14-110x210 cm,1,1.00,2.10,=J279*K279*L279,=M279,=H279-N279,,,=O279,,,,,,,,
F349,管道間,10.54,Type-C 單面輕隔間,=1.86,4.69,=E280*F280,=G280,D1-60x120 cm,1,0.60,1.20,=J280*K280*L280,=M280,=H280-N280,,,,,=O280,,,,,,
F350,男廁,22.98,Type-B 濕式輕隔間,=3.99+2.66+0.84+1.49+5.71+2.63,4.84,=E281*F281,=G281,D12-100x210 cm,1,0.90,2.10,=J281*K281*L281,=M281,=H281-N281,,,=O281,,,,,,,,
F351,電氣室,0.00,Type-A 雙面輕隔間,=1.86+1.26,5.12,=E282*F282,=G282,D4-90x220 cm,1,0.90,2.20,=J282*K282*L282,=M282,=H282-N282,=O282,,,,,,,,,,
F351,電氣室,0.00,Type-B 濕式輕隔間,=4.68,4.91,=E283*F283,=G283,,,,,,,=H283,,,=O283,,,,,,,,
F352,空調管道間,3.86,Type-C 單面輕隔間,=1.33+0.60+1.33+0.60,4.59,=E284*F284,=G284,D1-60x120 cm,1,0.60,1.20,=J284*K284*L284,=M284,=H284-N284,,,,,=O284,,,,,,
F353,管道間,3.65,Type-C 單面輕隔間,=0.78+1.05,2.19,=E285*F285,=G285,,,,,,,=H285,,,,,=O285,,,,,,
F353,管道間,3.65,Type-C 單面輕隔間,=0.44+1.13,4.46,=E286*F286,=G286,,,,,,,=H286,,,,,=O286,,,,,,
F401,梯廳,25.65,Type-A 雙面輕隔間,=5.08+5.15,4.49,=E287*F287,=G287,D7-180x220 cm,1,1.80,2.20,=J287*K287*L287,=M287,=H287-N287,=O287,,,,,,,,,,
F401,梯廳,25.65,Type-C 單面輕隔間,=1.35,4.44,=E288*F288,=G288,,,,,,,=H288,,,,,=O288,,,,,,
F402,中型大會議室,36.73,Type-A 雙面輕隔間,=7.42+7.42+12.33,4.52,=E289*F289,=G289,D16-90x210 cm,2,0.90,2.10,=J289*K289*L289,=M289,=H289-N289,=O289,,,,,,,,,,
F402,中型大會議室,36.73,Type-D 矽酸鈣板(單面封板),=13.45,4.76,=E290*F290,=G290,,,,,,,=H290,,,,,,=O290,,,,,
F403,女廁,25.10,Type-B 濕式輕隔間,=5.71+1.52+1.52,3.77,=E291*F291,=G291,,,,,,,=H291,,,=O291,,,,,,,,
F403,女廁,25.10,Type-C 單面輕隔間,=1.35,4.44,=E292*F292,=G292,,,,,,,=H292,,,,,=O292,,,,,,
F404,管道間,9.39,Type-C 單面輕隔間,=4.10+0.75+0.60+4.25,4.64,=E293*F293,=G293,,,,,,,=H293,,,,,=O293,,,,,,
F404,管道間,9.39,Type-F 岩棉庫板,=52.94,4.80,=E294*F294,=G294,,,,,,,=H294,,,,,,,,,=O294,,
F405,管道間,9.55,Type-C 單面輕隔間,=0.68+4.10+0.75+4.10,4.57,=E295*F295,=G295,,,,,,,=H295,,,,,=O295,,,,,,
F406,管道間,5.65,Type-A 雙面輕隔間,=6.21+5.36+3.73+2.98+5.85,4.48,=E296*F296,=G296,,,,,,,=H296,=O296,,,,,,,,,,
F406,管道間,5.65,Type-C 單面輕隔間,=2.05+0.85+0.78+2.20,4.42,=E297*F297,=G297,,,,,,,=H297,,,,,=O297,,,,,,
F406,管道間,5.65,Type-G 矽酸鈣板(單板),=0.16+0.93+0.16,6.40,=E298*F298,=G298,,,,,,,=H298,,,,,,,,,,,=O298
F408,管道間,7.25,Type-C 單面輕隔間,=4.40+0.48+0.55+3.15,4.66,=E299*F299,=G299,,,,,,,=H299,,,,,=O299,,,,,,
F408,管道間,7.25,Type-F 岩棉庫板(柱封版),=0.40+0.40,3.75,=E300*F300,=G300,,,,,,,=H300,,,,,,,,,,=O300,
F409,丙無障礙安全梯,19.95,Type-A 雙面輕隔間,=7.65,4.76,=E301*F301,=G301,D5-120x200 cm,1,1.20,2.00,=J301*K301*L301,=M301,=H301-N301,=O301,,,,,,,,,,
F409,丙無障礙安全梯,19.95,Type-F 岩棉庫板,=7.65,4.71,=E302*F302,=G302,,,,,,,=H302,,,,,,,,,=O302,,
F409,丙無障礙安全梯,19.95,Type-F 岩棉庫板(柱封版),=3.18+0.40+0.48,4.43,=E303*F303,=G303,,,,,,,=H303,,,,,,,,,,=O303,
F410,丙無障礙客梯,12.97,Type-B 濕式輕隔間,=3.00,4.67,=E304*F304,=G304,,,,,,,=H304,,,=O304,,,,,,,,
F411,丁無障礙客梯,14.11,Type-C 單面輕隔間,=1.71,4.68,=E305*F305,=G305,,,,,,,=H305,,,,,=O305,,,,,,
F411,丁無障礙客梯,14.11,Type-D 矽酸鈣板(單面封板),=3.70+6.50,4.12,=E306*F306,=G306,,,,,,,=H306,,,,,,=O306,,,,,
F412,乙安全梯,20.47,Type-A 雙面輕隔間,=6.29+4.10+5.83+6.29,4.62,=E307*F307,=G307,,,,,,,=H307,=O307,,,,,,,,,,
F412,乙安全梯,20.47,Type-C 單面輕隔間,=0.50,8.00,=E308*F308,=G308,,,,,,,=H308,,,,,=O308,,,,,,
F413,乙貨梯,25.78,Type-A 雙面輕隔間,=5.85+7.04+5.83+5.93+7.12,4.66,=E309*F309,=G309,,,,,,,=H309,=O309,,,,,,,,,,
F413,乙貨梯,25.78,Type-F 岩棉庫板,=65.80,4.79,=E310*F310,=G310,,,,,,,=H310,,,,,,,,,=O310,,
F414,甲貨梯,23.60,Type-C 單面輕隔間,=5.85+5.95+5.85+5.95,4.62,=E311*F311,=G311,,,,,,,=H311,,,,,=O311,,,,,,
F414,甲貨梯,23.60,Type-F 岩棉庫板,=5.75+53.95,4.79,=E312*F312,=G312,,,,,,,=H312,,,,,,,,,=O312,,
F415,甲安全梯,20.80,Type-A 雙面輕隔間,=6.30+4.10+6.30,4.61,=E313*F313,=G313,,,,,,,=H313,=O313,,,,,,,,,,
F416,丁安全梯,20.57,Type-A 雙面輕隔間,=6.21+4.18+4.08+3.00+6.21,4.77,=E314*F314,=G314,,,,,,,=H314,=O314,,,,,,,,,,
F416,丁安全梯,20.57,Type-F 岩棉庫板,=53.25+6.19,4.79,=E315*F315,=G315,,,,,,,=H315,,,,,,,,,=O315,,
F416,丁安全梯,20.57,Type-G 矽酸鈣板(單板),=0.30+0.93+0.16,5.76,=E316*F316,=G316,,,,,,,=H316,,,,,,,,,,,=O316
F417,戊安全梯,20.67,Type-A 雙面輕隔間,=4.08+6.26+6.26+4.08+4.83,4.66,=E317*F317,=G317,,,,,,,=H317,=O317,,,,,,,,,,
F417,戊安全梯,20.67,Type-F 岩棉庫板,=6.22,4.66,=E318*F318,=G318,,,,,,,=H318,,,,,,,,,=O318,,
F417,戊安全梯,20.67,Type-G 矽酸鈣板(單板),=0.93+0.93+0.18+0.18+0.16+0.16,7.09,=E319*F319,=G319,,,,,,,=H319,,,,,,,,,,,=O319
F418,管道間,6.10,Type-A 雙面輕隔間,=2.90+5.36+2.68+2.98+6.26,4.46,=E320*F320,=G320,,,,,,,=H320,=O320,,,,,,,,,,
F418,管道間,6.10,Type-C 單面輕隔間,=2.15+0.90+0.90+2.15,4.43,=E321*F321,=G321,,,,,,,=H321,,,,,=O321,,,,,,
F418,管道間,6.10,Type-F 岩棉庫板,=53.33,4.56,=E322*F322,=G322,,,,,,,=H322,,,,,,,,,=O322,,
F418,管道間,6.10,Type-G 矽酸鈣板(單板),=0.93+0.18+0.18,7.75,=E323*F323,=G323,,,,,,,=H323,,,,,,,,,,,=O323
F419,管道間,3.55,Type-C 單面輕隔間,=0.43+1.35+0.43,4.07,=E324*F324,=G324,,,,,,,=H324,,,,,=O324,,,,,,
F420,管道間,6.50,Type-C 單面輕隔間,=1.65+1.60+1.65+1.60,4.62,=E325*F325,=G325,,,,,,,=H325,,,,,=O325,,,,,,
F420,管道間,6.50,Type-F 岩棉庫板,=53.45+1.08,4.77,=E326*F326,=G326,,,,,,,=H326,,,,,,,,,=O326,,
F420,管道間,6.50,Type-G 矽酸鈣板(單板),=0.16+0.93+0.16,6.40,=E327*F327,=G327,,,,,,,=H327,,,,,,,,,,,=O327
F421,無障礙廁所,9.08,Type-B 濕式輕隔間,=5.11+1.72+2.70+2.20,4.60,=E328*F328,=G328,D12-100x210 cm,1,0.90,2.10,=J328*K328*L328,=M328,=H328-N328-N329,,,=O328,,,,,,,,
,,,,,,,,D14-110x210 cm,1,1.00,2.10,=J329*K329*L329,=M329,,,,,,,,,,,,
F422,管道間,10.54,Type-C 單面輕隔間,=1.86,4.15,=E330*F330,=G330,D1-60x120 cm,1,0.60,1.20,=J330*K330*L330,=M330,=H330-N330,,,,,=O330,,,,,,
F423,男廁,22.98,Type-B 濕式輕隔間,=4.47+2.66+0.84+1.49+5.71,4.42,=E331*F331,=G331,,,,,,,=H331,,,=O331,,,,,,,,
F424,電氣室,0.00,Type-A 雙面輕隔間,=1.86+1.26,4.48,=E332*F332,=G332,D4-90x220 cm,1,0.90,2.20,=J332*K332*L332,=M332,=H332-N332,=O332,,,,,,,,,,
F424,電氣室,0.00,Type-B 濕式輕隔間,=5.71,4.53,=E333*F333,=G333,D12-100x210 cm,1,0.90,2.10,=J333*K333*L333,=M333,=H333-N333,,,=O333,,,,,,,,
F425,空調管道間,3.86,Type-C 單面輕隔間,=1.42+0.60+0.60+1.33,4.49,=E334*F334,=G334,D1-60x120 cm,1,0.60,1.20,=J334*K334*L334,=M334,=H334-N334,,,,,=O334,,,,,,
F426,通廊,78.26,Type-A 雙面輕隔間,=2.55+2.40,4.60,=E335*F335,=G335,D17-180x210 cm,1,1.80,2.10,=J335*K335*L335,=M335,=H335-N335,=O335,,,,,,,,,,
F426,通廊,78.26,Type-B 濕式輕隔間,=4.35,4.60,=E336*F336,=G336,,,,,,,=H336,,,=O336,,,,,,,,
F426,通廊,78.26,Type-C 單面輕隔間,=1.63,4.29,=E337*F337,=G337,,,,,,,=H337,,,,,=O337,,,,,,
F426,通廊,78.26,Type-F 岩棉庫板,=64.10,4.56,=E338*F338,=G338,,,,,,,=H338,,,,,,,,,=O338,,
F427,大型會議室,68.05,Type-A 雙面輕隔間,=21.54+4.43,4.57,=E339*F339,=G339,D17-180x210 cm,1,1.80,2.10,=J339*K339*L339,=M339,=H339-N339,=O339,,,,,,,,,,
