工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,Type-A 雙面輕隔間,Type-A2 雙面輕隔間,Type-B 濕式輕隔間,Type-B 濕式輕隔間-襯板,Type-C 單面輕隔間,Type-D 矽酸鈣板(單面封板),Type-E 複壁,Type-E 纖維水泥板(單面)-10cm,Type-F 岩棉庫板,Type-F 岩棉庫板(柱封版),Type-G 矽酸鈣板(單板)
F106,甲安全梯,20.80,Type-A 雙面輕隔間,=3.00+6.30+6.38+4.10,9.64,=E60*F60,=G60,D7-180x220 cm,1,1.80,2.20,=J60*K60*L60,=M60,=H60-N60-N61,=O60,,,,,,,,,,
,,,,,,,,D6-120x220 cm,1,1.20,2.20,=J61*K61*L61,=M61,,,,,,,,,,,,
F106,甲安全梯,20.80,Type-D 矽酸鈣板(單面封板),=0.40+0.40+0.40+0.51,8.19,=E62*F62,=G62,,,,,,,=H62,,,,,,=O62,,,,,
F107,管道間,9.55,Type-C 單面輕隔間,=4.10+0.75+4.18+0.68,9.75,=E63*F63,=G63,D1-60x120 cm,1,0.60,1.20,=J63*K63*L63,=M63,=H63-N63,,,,,=O63,,,,,,
F108,理貨區,334.97,Type-F 岩棉庫板,=12.00+37.50+50.40,9.63,=E64*F64,=G64,SD4-400x280 cm,4,4.00,2.80,=J64*K64*L64,=M64,=H64-N64-N65-N66,,,,,,,,,=O64,,
,,,,,,,,SD5-1000x300 cm,3,10.00,3.00,=J65*K65*L65,=M65,,,,,,,,,,,,
,,,,,,,,D6-120x220 cm,2,1.20,2.20,=J66*K66*L66,=M66,,,,,,,,,,,,
F109,乙貨梯,25.80,Type-C 單面輕隔間,=5.85+7.05+7.05+5.85,9.46,=E67*F67,=G67,,,,,,,=H67,,,,,=O67,,,,,,
F110,梯廳,37.45,Type-A 雙面輕隔間,=3.00,9.32,=E68*F68,=G68,D7-180x220 cm,1,1.80,2.20,=J68*K68*L68,=M68,=H68-N68,=O68,,,,,,,,,,
F110,梯廳,37.45,Type-F 岩棉庫板,=5.28+5.30,9.48,=E69*F69,=G69,D6-120x220 cm,2,1.20,2.20,=J69*K69*L69,=M69,=H69-N69,,,,,,,,,=O69,,
F111,管道間,9.72,Type-C 單面輕隔間,=4.10+4.10+0.76+0.76,9.74,=E70*F70,=G70,D1-60x120 cm,1,0.60,1.20,=J70*K70*L70,=M70,=H70-N70,,,,,=O70,,,,,,
F111,管道間,9.72,Type-D 矽酸鈣板(單面封板),=0.50,6.00,=E71*F71,=G71,,,,,,,=H71,,,,,,=O71,,,,,
F112,乙安全梯,20.78,Type-A 雙面輕隔間,=6.29+4.10+6.29,9.63,=E72*F72,=G72,D6-120x220 cm,1,1.20,2.20,=J72*K72*L72,=M72,=H72-N72,=O72,,,,,,,,,,
F112,乙安全梯,20.78,Type-D 矽酸鈣板(單面封板),=0.40+0.40+0.40,8.33,=E73*F73,=G73,,,,,,,=H73,,,,,,=O73,,,,,
F113,管道間,2.80,,,,,,,,,,,,,,,,,,,,,,,
F114,公共廁所,21.64,Type-B 濕式輕隔間-襯板,=1.76+2.56,2.08,=E75*F75,=G75,,,,,,,=H75,,,,=O75,,,,,,,
F115,排風管道間,13.07,Type-C 單面輕隔間,=3.76,3.19,=E76*F76,=G76,,,,,,,=H76,,,,,=O76,,,,,,
F116,庫存鋼架區,186.50,Type-F 岩棉庫板,=36.00+8.30+35.48,9.34,=E77*F77,=G77,SD4-400x280 cm,6,4.00,2.80,=J77*K77*L77,=M77,=H77-N77-N78,,,,,,,,,=O77,,
,,,,,,,,D6-120x220 cm,3,1.20,2.20,=J78*K78*L78,=M78,,,,,,,,,,,,
F117,丁安全梯,20.62,Type-A 雙面輕隔間,=4.10+4.10+6.21,9.90,=E79*F79,=G79,D6-120x220 cm,1,1.20,2.20,=J79*K79*L79,=M79,=H79-N79,=O79,,,,,,,,,,
F117,丁安全梯,20.62,Type-C 單面輕隔間,=1.08+0.43+0.49+0.43,9.05,=E80*F80,=G80,,,,,,,=H80,,,,,=O80,,,,,,
F118,弱電室,18.11,Type-A 雙面輕隔間,=6.21+5.31+2.93+2.93,9.55,=E81*F81,=G81,D4-90x220 cm,1,0.90,2.20,=J81*K81*L81,=M81,=H81-N81,=O81,,,,,,,,,,
F119,電氣室,24.12,Type-A 雙面輕隔間,=5.85+6.21+3.80,9.64,=E82*F82,=G82,D3-180x220 cm,1,1.80,2.20,=J82*K82*L82,=M82,=H82-N82,=O82,,,,,,,,,,
F120,管道間,5.90,Type-C 單面輕隔間,=2.05+0.90+2.05+0.90,9.78,=E83*F83,=G83,D1-60x120 cm,1,0.60,1.20,=J83*K83*L83,=M83,=H83-N83,,,,,=O83,,,,,,
F121,庫存鋼架區,236.20,Type-F 岩棉庫板,=8.30+48.00+6.27+8.30,9.34,=E84*F84,=G84,D6-120x220 cm,3,1.20,2.20,=J84*K84*L84,=M84,=H84-N84-N85,,,,,,,,,=O84,,
,,,,,,,,SD4-400x280 cm,4,4.00,2.80,=J85*K85*L85,=M85,,,,,,,,,,,,
F122,庫存鋼架區,215.25,Type-E 複壁,=236.35,4.90,=E86*F86,=G86,,,,,,,=H86,,,,,,,=O86,,,,
F122,庫存鋼架區,215.25,Type-F 岩棉庫板,=47.95,9.64,=E87*F87,=G87,SD4-400x280 cm,4,4.00,2.80,=J87*K87*L87,=M87,=H87-N87-N88,,,,,,,,,=O87,,
,,,,,,,,D6-120x220 cm,2,1.20,2.20,=J88*K88*L88,=M88,,,,,,,,,,,,
F123,戊安全梯,20.72,Type-A 雙面輕隔間,=6.26+4.10+6.90+6.26,9.76,=E89*F89,=G89,D6-120x220 cm,1,1.20,2.20,=J89*K89*L89,=M89,=H89-N89-N90,=O89,,,,,,,,,,
,,,,,,,,D3-180x220 cm,1,1.80,2.20,=J90*K90*L90,=M90,,,,,,,,,,,,
F123,戊安全梯,20.72,Type-D 矽酸鈣板(單面封板),=0.43+0.54+0.43+1.08,8.47,=E91*F91,=G91,,,,,,,=H91,,,,,,=O91,,,,,
F124,弱電室,18.42,Type-A 雙面輕隔間,=2.95+6.26+2.95+5.29,9.74,=E92*F92,=G92,D4-90x220 cm,1,0.90,2.20,=J92*K92*L92,=M92,=H92-N92,=O92,,,,,,,,,,
F125,電氣室,22.42,Type-A 雙面輕隔間,=4.88,9.43,=E93*F93,=G93,,,,,,,=H93,=O93,,,,,,,,,,
F125,電氣室,22.42,Type-F 岩棉庫板(柱封版),=0.43+0.43+0.43+0.43,8.14,=E94*F94,=G94,,,,,,,=H94,,,,,,,,,,=O94,
F126,管道間,6.10,Type-C 單面輕隔間,=0.98+2.15+2.30+0.90,9.43,=E95*F95,=G95,D1-60x120 cm,1,0.60,1.20,=J95*K95*L95,=M95,=H95-N95,,,,,=O95,,,,,,
F127,庫存鋼架區,234.30,Type-F 岩棉庫板,=6.22+59.95+35.48+8.30+8.30,9.26,=E96*F96,=G96,SD4-400x280 cm,8,4.00,2.80,=J96*K96*L96,=M96,=H96-N96-N97,,,,,,,,,=O96,,
,,,,,,,,D6-120x220 cm,5,1.20,2.20,=J97*K97*L97,=M97,,,,,,,,,,,,
F128,排風管道間,14.65,Type-C 單面輕隔間,=4.43+2.90+4.50,7.67,=E98*F98,=G98,D1-60x120 cm,1,0.60,1.20,=J98*K98*L98,=M98,=H98-N98,,,,,=O98,,,,,,
F129,管道間,6.70,Type-C 單面輕隔間,=2.90+2.90+0.53+0.45,9.14,=E99*F99,=G99,,,,,,,=H99,,,,,=O99,,,,,,
F130,庫存鋼架區,268.02,Type-E 複壁,=33.25,4.87,=E100*F100,=G100,,,,,,,=H100,,,,,,,=O100,,,,
F130,庫存鋼架區,268.02,Type-F 岩棉庫板,=11.10+17.05+16.30,10.60,=E101*F101,=G101,,,,,,,=H101,,,,,,,,,=O101,,
F131,資訊機房,24.15,Type-A 雙面輕隔間,=7.93+7.23+4.85,6.39,=E102*F102,=G102,D18-90x210cm,1,0.90,2.10,=J102*K102*L102,=M102,=H102-N102,=O102,,,,,,,,,,
F132,印表室,23.75,Type-A 雙面輕隔間,=7.23+4.65,4.54,=E103*F103,=G103,D9-90x210 cm,1,0.90,2.10,=J103*K103*L103,=M103,=H103-N103,=O103,,,,,,,,,,
F133,資訊機房,21.95,Type-A 雙面輕隔間,=7.23+3.75,4.63,=E104*F104,=G104,D18-90x210cm,1,0.90,2.10,=J104*K104*L104,=M104,=H104-N104,=O104,,,,,,,,,,
F134,會議室,21.64,Type-A 雙面輕隔間,=7.23+3.60,4.61,=E105*F105,=G105,D16-90x210 cm,1,0.90,2.10,=J105*K105*L105,=M105,=H105-N105,=O105,,,,,,,,,,
F135,會議室,21.05,Type-A 雙面輕隔間,=3.82,4.68,=E106*F106,=G106,D16-90x210 cm,1,0.90,2.10,=J106*K106*L106,=M106,=H106-N106,=O106,,,,,,,,,,
F135,會議室,21.05,Type-G 矽酸鈣板(單板),=7.32,4.64,=E107*F107,=G107,,,,,,,=H107,,,,,,,,,,,=O107
F136,捷盟辦公室,50.70,Type-A 雙面輕隔間,=15.85+9.50,7.88,=E108*F108,=G108,D17-180x210 cm,1,1.80,2.10,=J108*K108*L108,=M108,=H108-N108,=O108,,,,,,,,,,
F137,家樂福辦公室,55.78,Type-A 雙面輕隔間,=15.85+5.55,4.90,=E109*F109,=G109,D17-180x210 cm,1,1.80,2.10,=J109*K109*L109,=M109,=H109-N109,=O109,,,,,,,,,,
