工程採購數量計算表,,,,,,,,,,,,,,,,,,
綜合大樓,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,TYPE A1-乾式輕隔間-15cm,TYPE C-乾式輕隔間牆-15cm,TYPE D1-乾式輕隔間-10cm,TYPE E-纖維水泥板(單面)-10cm
F207,休息室,13.69,,,,,,,,,,,,,,,,
F208,中控室,45.13,TYPE D1-乾式輕隔間-10cm,=0.90+0.95,3.30,=E65*F65,=G65,,,,,,,=H65,,,=O65,
F208,中控室,45.13,TYPE C-乾式輕隔間牆-15cm,=0.50+1.72,3.30,=E66*F66,=G66,60x120 cm,1,0.60,1.20,=J66*K66*L66,=M66,=H66-N66,,=O66,,
F209,茶水間,8.98,,,,,,,,,,,,,,,,
F210,哺乳室,8.44,,,,,,,,,,,,,,,,
F211,男廁,20.67,,,,,,,,,,,,,,,,
F212,女廁,19.04,,,,,,,,,,,,,,,,
F213,甲無障礙安全梯,30.27,,,,,,,,,,,,,,,,
F214,樓梯B,21.60,,,,,,,,,,,,,,,,
F215,排煙管道間,6.79,,,,,,,,,,,,,,,,
F216,露臺 路口,9.22,,,,,,,,,,,,,,,,
F217,無障礙客梯,10.00,,,,,,,,,,,,,,,,
F218,戶外平台,108.76,,,,,,,,,,,,,,,,
F219,淋浴間,5.76,,,,,,,,,,,,,,,,
F220,消防管道間,5.90,,,,,,,,,,,,,,,,
R101,電梯機房,12.70,,,,,,,,,,,,,,,,
R102,排煙機房,29.50,,,,,,,,,,,,,,,,
R103,消防管道間,7.10,,,,,,,,,,,,,,,,
R104,甲無障礙安全梯,22.77,,,,,,,,,,,,,,,,
R105,水箱機房,57.27,,,,,,,,,,,,,,,,
R106,消防水箱,6.40,,,,,,,,,,,,,,,,
R107,日用水箱,17.20,,,,,,,,,,,,,,,,
R108,屋頂平台,88.35,,,,,,,,,,,,,,,,
R109,走廊,23.60,,,,,,,,,,,,,,,,
R110,排煙管道間,6.90,,,,,,,,,,,,,,,,
N/A,日用水箱,,,,,,,,,,,,,,,,,
N/A,雨水水箱,,,,,,,,,,,,,,,,,
N/A,消防水箱,,,,,,,,,,,,,,,,,
N/A,消防蓄水池,,,,,,,,,,,,,,,,,
